1	6
10	2
100	5
10000	1
100000	2
1000002	2
1000003	2
1000004	6
1000005	4
1000006	3
1000008	1
1000009	3
100001	1
1000010	7
1000020	6
1000022	4
1000025	13
1000027	6
1000029	3
100003	5
1000030	8
1000034	3
1000040	4
1000049	5
1000051	4
1000052	1
1000053	1
1000054	11
1000056	15
1000058	3
1000063	4
1000066	1
1000070	8
1000071	4
1000076	9
1000077	7
1000085	13
1000088	21
1000089	3
100009	1
1000091	2
1000094	2
1000096	2
10001	1
1000101	3
1000102	6
1000104	2
1000105	3
1000106	12
1000109	1
100011	4
1000110	1
1000111	4
1000112	4
1000119	10
1000128	6
1000129	5
100013	3
1000131	2
1000137	1
1000138	2
100014	2
1000140	4
1000141	8
1000143	1
1000144	1
1000146	1
1000150	8
1000151	2
1000153	2
1000155	3
1000156	3
1000158	17
1000162	3
1000168	6
1000179	7
100018	6
1000180	1
1000185	13
1000187	1
1000192	1
1000194	7
1000195	2
1000199	1
10002	1
1000203	2
1000204	1
1000206	7
100021	1
1000212	2
1000213	1
1000214	1
1000216	4
100022	11
1000221	10
1000226	2
1000227	5
1000233	12
1000235	4
1000236	8
1000237	2
100024	4
1000250	3
1000251	2
1000255	1
1000259	8
1000260	3
1000262	3
1000267	3
1000282	4
1000285	2
1000286	1
1000292	7
1000299	1
10003	1
1000301	1
1000304	8
1000305	1
100031	7
1000310	2
1000315	5
1000317	14
1000323	7
1000324	7
1000327	3
1000329	9
1000332	2
1000333	8
1000337	2
1000339	3
100034	3
1000350	1
1000351	2
1000352	1
1000356	1
1000361	1
1000364	5
1000365	1
1000372	5
1000374	6
1000376	2
100038	7
1000381	5
1000383	9
1000384	1
1000388	7
100039	9
1000390	1
1000393	4
1000396	1
1000397	9
100040	6
1000403	5
1000404	1
1000406	1
1000410	9
1000411	9
1000412	1
1000416	15
1000417	27
100042	1
1000422	14
1000424	8
1000429	4
1000435	4
1000436	6
1000441	4
100045	1
1000452	1
1000454	3
1000464	3
1000474	15
100048	4
1000481	6
1000482	3
1000489	4
1000497	2
10005	4
1000502	7
1000504	2
1000506	3
1000508	3
1000515	7
1000517	13
1000518	1
1000519	5
1000523	2
1000527	1
1000530	1
1000531	1
1000534	2
1000541	1
1000542	6
1000548	1
1000550	6
1000551	1
1000555	3
1000557	4
1000558	1
1000563	1
100057	8
1000571	1
1000573	13
1000574	15
1000576	1
1000577	2
1000578	4
1000581	2
1000587	1
100059	1
1000603	17
1000604	4
1000606	1
1000608	9
1000609	4
1000610	7
1000611	3
1000620	2
1000623	6
1000626	3
1000629	1
1000632	1
1000635	1
1000636	1
1000637	2
1000638	2
1000640	3
1000641	3
1000643	9
1000644	10
1000647	6
1000648	3
1000652	2
1000653	3
1000656	8
100066	2
1000667	2
100067	3
1000672	1
1000674	4
100068	2
1000681	10
1000682	6
1000683	3
1000686	5
1000690	1
1000694	1
1000695	4
1000696	3
